customer_id,first_name,last_name,gender,past_3_years_bike_related_purchases,DOB,Age,job_title,job_industry_category,wealth_segment,deceased_indicator,owns_car,tenure,address,postcode,state,country,property_valuation,index,transaction_id,product_id,transaction_date,online_order,order_status,brand,product_line,product_class,product_size,list_price,standard_cost,product_first_sold_date
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,3765,3765,38,06-04-2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,39526
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,5157,5157,47,11-05-2017,TRUE,Approved,Trek Bicycles,Road,low,small,1720.7,"$1,531.42",37823
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,9785,9785,72,05-01-2017,FALSE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,37873
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,13424,13424,2,21-02-2017,FALSE,Approved,Solex,Standard,medium,medium,71.49,$53.62,38573
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,13644,13644,25,19-05-2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,1538.99,$829.65,33552
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,14486,14486,23,27-03-2017,FALSE,Approved,Norco Bicycles,Mountain,low,small,688.63,$612.88,33455
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,14931,14931,31,14-12-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,230.91,$173.18,37337
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,15663,15663,32,04-06-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,642.7,$211.37,40618
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,16423,16423,9,09-12-2017,TRUE,Approved,OHM Cycles,Road,medium,medium,742.54,$667.40,37838
1,Laraine,Medendorp,Female,93,12-10-1953,70,Executive Secretary,Health,Mass Customer,N,Yes,11,060 Morning Avenue,2016,New South Wales,Australia,10,18970,18970,11,29-03-2017,TRUE,Approved,Giant Bicycles,Standard,high,medium,1274.93,$764.96,35378
2,Eli,Bockman,Male,81,16-12-1980,43,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10,2261,2261,1,04-05-2017,TRUE,Approved,Giant Bicycles,Standard,medium,medium,1403.5,$954.82,40784
2,Eli,Bockman,Male,81,16-12-1980,43,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10,6743,6743,85,11-06-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,38206
2,Eli,Bockman,Male,81,16-12-1980,43,Administrative Officer,Financial Services,Mass Customer,N,Yes,16,6 Meadow Vale Court,2153,New South Wales,Australia,10,16411,16411,26,24-08-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1992.93,$762.63,37337
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,2501,2501,59,10-05-2017,FALSE,Approved,Solex,Standard,medium,large,1061.56,$733.58,42172
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,2979,2979,85,06-03-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,752.64,$205.36,36367
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,4233,4233,36,13-10-2017,FALSE,Approved,Solex,Standard,low,medium,945.04,$507.58,40336
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,8591,8591,69,04-02-2017,FALSE,Approved,Giant Bicycles,Road,medium,medium,792.9,$594.68,41922
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,9405,9405,6,20-08-2017,FALSE,Approved,OHM Cycles,Standard,high,medium,227.88,$136.73,41701
9,Mala,Lind,Female,97,10-03-1973,50,Business Systems Development Analyst,Argiculture,Affluent Customer,N,Yes,8,97736 7th Trail,2023,New South Wales,Australia,12,10662,10662,38,30-09-2017,TRUE,Approved,Solex,Standard,medium,medium,1577.53,$826.51,40336
12,Sawyere,Flattman,Male,58,21-07-1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,44339 Golden Leaf Alley,4557,QLD,Australia,4,5985,5985,39,21-08-2017,FALSE,Approved,Giant Bicycles,Standard,medium,large,1812.75,$582.48,40336
12,Sawyere,Flattman,Male,58,21-07-1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,44339 Golden Leaf Alley,4557,QLD,Australia,4,6705,6705,72,04-09-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
12,Sawyere,Flattman,Male,58,21-07-1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,44339 Golden Leaf Alley,4557,QLD,Australia,4,6741,6741,72,12-02-2017,TRUE,Approved,Norco Bicycles,Standard,medium,medium,360.4,$270.30,42710
12,Sawyere,Flattman,Male,58,21-07-1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,44339 Golden Leaf Alley,4557,QLD,Australia,4,12242,12242,91,23-07-2017,FALSE,Approved,Solex,Standard,medium,medium,100.35,$75.26,36367
12,Sawyere,Flattman,Male,58,21-07-1994,29,Nuclear Power Engineer,Manufacturing,Mass Customer,N,No,8,44339 Golden Leaf Alley,4557,QLD,Australia,4,13818,13818,44,21-08-2017,FALSE,Approved,WeareA2B,Standard,medium,medium,1769.64,$108.76,40672
